Player,Team,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
M. Camara,Olympiacos Piraeus,"RDMF, AMF, RCMF",24,15000000,2024-06-30,2364,Guinea,Guinea,right,182,75,no,6.89,5.94,49.36,2.28,40,0.93,0.04,5.49,2.21,0.12,0,1.68,1.41,24.32,3.01,62.03,7.46,1.37,1.87,0.88,46.07,0.65,1.56,60.49,86.09,18.96,72.89,8.34,23.38,53.95,5.18,56.62,18.77,0.07,0.76,10.05,75,2.86,42.67,0.95,0.42,8.68,84.65,0
Y. M'Vila,Olympiacos Piraeus,"RDMF, LDMF, LCMF",30,5000000,2023-06-30,2679,France,"France, Congo",right,182,80,no,8.3,4.67,64.03,1.85,63.64,1.7,0.24,6.97,0.71,0.1,0.03,1.01,0.44,46.15,0.3,77.78,1.31,0.91,0.27,0.03,46.29,0.6,0.74,61.08,89.82,19.15,82.81,6.72,28.05,55.4,5.24,57.69,19.96,0.05,0.44,8.67,74.03,1.31,48.72,0.6,0.24,8.67,85.27,0
A. Bouchalakis,Olympiacos Piraeus,"LDMF, LCMF, RCMF",28,5000000,2022-06-30,2084,Greece,Greece,left,186,82,no,7.82,5.31,60.16,1.81,54.76,0.84,0.3,6.67,1.55,0.09,0.04,1.08,0.56,30.77,1.21,53.57,3.84,0.6,1.12,0.56,47.72,0.43,0.86,60.98,87.68,17.58,74.94,9.29,26.34,54.98,5.44,57.94,19.51,0.09,0.65,10.24,73,2.63,44.26,1.12,0.17,8.72,85.15,0
Pêpê,Famalicão,"RDMF, LDMF, RCMF",23,3000000,2024-06-30,272,Portugal,Portugal,right,183,66,yes,7.28,7.61,56.52,1.65,0,1.4,0.33,4.88,1.65,0,0,0,0.33,0,2.32,28.57,3.64,0,1.65,0.33,56.58,0,0,66.18,94.5,15.88,89.58,11.25,28.79,62.54,3.31,100,13.25,0,0,8.93,85.19,0.99,66.67,0.66,0,8.27,100,0
Douglas,PAOK,"RCMF, DMF, RDMF",24,3000000,2023-06-30,1644,Brazil,Brazil,left,173,68,no,11.06,10.18,59.14,3.01,30.91,0.55,0.38,6.62,2.96,0.14,0,1.31,0.22,25,1.64,50,5.42,0.44,1.15,0.66,32.85,0.22,1.37,47.46,89.97,13.74,81.27,5.97,21.19,43.03,4.22,61.04,18.34,0.06,0.33,7.01,81.25,1.2,50,0.66,0.05,6.02,80.91,1
A. Esiti,Göztepe,"RCMF, LDMF, LCMF",26,2000000,2023-06-30,363,Nigeria,Nigeria,right,189,84,yes,12.4,10.17,58.54,5.95,66.67,1.34,0.25,10.3,3.22,0.09,0,1.49,0,0,3.47,57.14,10.17,1.24,0.5,0.5,26.28,0.25,1.49,46.61,89.89,10.17,78.05,7.44,22.56,42.15,4.46,55.56,21.11,0,0,7.19,72.41,0.25,0,0,0,3.47,85.71,0
Y. Sankharé,Panathinaikos,"LCMF, LDMF, AMF",31,2000000,2022-06-30,569,France,"France, Senegal",left,184,80,no,6.33,5.69,55.56,1.27,50,0,0.47,3.8,1.58,0.44,0.16,0.95,0.16,100,2.06,53.85,5.69,1.11,0.47,0.79,17.87,0.63,2.06,28.47,85,8.7,72.73,5.54,7.43,26.41,1.9,33.33,15.3,0.03,0.32,3.8,54.17,0.47,33.33,0.16,0.16,3.48,63.64,0
K. Galanopoulos,AEK Athens,"LCMF, LDMF",23,2000000,2023-06-30,1151,Greece,Greece,right,172,72,no,9.77,7.04,58.89,1.25,31.25,2.23,0.23,6.21,2.27,0.13,0,1.17,0.39,40,2.97,39.47,6.65,1.49,1.64,0.55,27.6,0.7,0.94,37.85,87.4,10.48,79.85,6.1,14.39,35.81,1.64,42.86,16.35,0.01,0.47,6.88,87.5,1.02,46.15,0.47,0.08,5.16,83.33,0
S. Schwab,PAOK,"LCMF, LDMF, RCMF",30,2000000,2022-06-30,2598,Austria,Austria,left,183,83,no,8.04,7.34,49.06,3.78,59.63,1.4,0.21,5.47,2.15,0.31,0.03,1.66,1.42,43.9,1.8,57.69,5.54,1.7,1.56,0.62,35.4,0.38,0.76,50.47,81.13,19.02,73.95,7.31,16.11,42.4,6.79,59.18,19.69,0.11,0.94,11.4,72.34,2.91,47.62,1.14,0.45,10.18,83.67,5
D. Kourbelis,Panathinaikos,"DMF, RCMF, LCMF",27,1800000,2023-06-30,923,Greece,Greece,right,181,74,no,12.19,7.41,71.05,3.8,56.41,0.99,0.1,9.06,1.66,0.04,0,0.49,0.39,0,1.17,58.33,4.68,0.49,0.98,0.29,30.91,0.2,2.05,50.22,86.21,15.99,76.22,6.05,21.65,42.32,7.51,61.04,19.8,0.02,0.29,8.48,72.41,1.56,56.25,0.68,0,8.68,74.16,0
