Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Minutes played,Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,xG per 90,Head goals per 90,Shots per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Penalties taken
J. Gressel,DC United,"RWB, RB",27,4000000,2023-12-31,511,Germany,Germany,right,185,84,no,8.98,6.69,50,1.94,72.73,0.5,0.18,7.56,1.41,0.06,0,1.41,7.4,28.57,3.35,63.16,5.28,2.99,1.59,0.53,30.65,2.11,1.23,42.27,65.42,13.39,48.68,6.52,14.79,28.53,6.87,43.59,23.49,0.15,1.76,7.57,41.86,6.16,31.43,1.06,1.76,9.86,76.79,0
K. Acosta,Colorado Rapids,"LB, LCMF, RCMF",25,3000000,2021-12-31,483,USA,USA,right,177,68,no,9.5,8.01,65.12,1.3,28.57,1.74,0,3.97,2.42,0.04,0,1.12,1.68,0,1.86,30,4.47,1.49,2.24,0.75,23.29,1.12,0.93,32.05,88.37,7.83,90.48,6.34,12.3,28.51,2.05,63.64,19.37,0.02,0.19,3.54,89.47,1.3,28.57,0.37,0,3.73,75,0
A. Tinnerholm,New York City,"RB, RWB",30,2500000,,355,Sweden,Sweden,right,175,68,no,9.13,7.1,67.86,0.76,33.33,0,0,6.54,1.52,0.15,0,1.27,3.3,46.15,2.54,80,4.56,3.3,3.04,1.27,33.72,2.54,0.51,46.9,78.38,15.21,70,7.1,15.97,40.56,3.3,53.85,16.9,0.12,0.76,5.32,57.14,3.3,53.85,1.27,1.52,11.15,79.55,0
G. Bello,Atlanta United,"LB, LW",19,2500000,2021-12-31,461,Nigeria,"Nigeria, USA",left,172,64,no,7.42,6.64,70.59,1.17,33.33,0,0.2,4.47,0.59,0.03,0,0.59,0.98,40,2.93,60,8.2,0.98,0.39,0.59,31.24,2.93,1.17,41.19,91.47,12.1,90.32,11.52,11.52,39.83,0.39,100,15.81,0.07,0.39,3.51,88.89,0.39,100,0.2,0.39,4.49,73.91,0
K. Wagner,Philadelphia Union,LB,24,2500000,2022-12-31,523,Germany,Germany,left,182,78,no,10.15,9.12,56.6,5.16,50,1.41,0.17,5.39,1.2,0.01,0,0.69,2.93,29.41,1.72,60,3.27,0.86,1.89,1.03,27.19,2.07,1.55,40.44,80.85,15.66,76.92,6.71,11.7,33.73,3.96,56.52,21.08,0.11,1.03,7.06,78.05,3.1,33.33,0.52,0.52,9.98,81.03,0
R. Laryea,Toronto,RB,26,2500000,,479,Ghana,Ghana,right,175,68,no,9.58,6.76,72.22,0.38,50,0.23,0.38,5.54,1.69,0.01,0,0.56,1.32,14.29,3.57,57.89,12.4,2.25,1.88,1.69,25.18,0.75,3.95,35.51,84.66,9.39,74,8.64,9.58,33.26,0.94,20,15.63,0.06,0.38,2.82,80,1.13,16.67,0.19,0.56,3.57,57.89,0
R. Matarrita,Cincinnati,LB,26,2500000,,486,Costa Rica,Costa Rica,left,175,70,no,10.74,7.78,64.29,1.11,50,0.23,0.56,6.92,0.56,0.05,0,0.74,1.11,0,2.78,80,5.19,0.37,1.67,0.74,30.93,3.15,0.74,40.19,79.72,14.81,73.75,5.37,14.26,33.7,5.37,62.07,20.18,0.21,1.11,5.74,67.74,2.41,46.15,1.3,0,9.07,65.31,0
S. Vines,Colorado Rapids,"LB, LWB",21,2000000,2021-12-31,290,USA,USA,left,178,68,no,6.52,5.28,70.59,1.55,20,0,0,3.86,0.31,0.02,0,0.31,2.48,37.5,1.24,25,3.41,1.24,0.93,0.93,29.17,3.41,0.62,35.07,88.5,8.07,84.62,10.24,11.48,30.41,2.17,71.43,19.5,0.15,0.62,4.03,92.31,2.17,57.14,0.62,0.93,6.52,90.48,0
C. Gasper,Minnesota United,LB,25,2000000,2021-12-31,584,USA,USA,left,183,84,no,11.56,8.32,51.85,3.54,56.52,1.94,0.31,7.16,1.23,0.05,0,0.62,3.24,47.62,1.7,72.73,3.54,0.92,1.39,0.77,32.52,2.16,1.08,46.08,80.6,15.41,77,7.24,15.41,39.45,3.54,47.83,18.37,0.1,0.62,4.16,70.37,2.47,62.5,0.15,1.54,11.71,73.68,0
C. Bravo,Portland Timbers,LB,24,2000000,2021-06-30,516,Argentina,Argentina,left,170,69,no,12.04,8.45,55,1.27,33.33,0.26,0,8.72,1.48,0.03,0,1.27,2.11,30,2.11,40,6.97,0.63,2.11,1.06,26.2,0.63,0.85,40.35,81.68,14.79,67.14,5.7,14.58,33.8,4.86,43.48,20.51,0,0,7.39,65.71,2.96,42.86,0.85,0.85,8.66,78.05,0
